node,outdegree,katz,undirected_betweenness,undirected_Weighted_betweenness,QuarterYear,Number of Deals,Total Deal Value
IQ31348,0.0043541364296081,0.0133491528313773,2.5197250180229136e-05,2.5197250180229136e-05,2011-q2,0.0,0.0
IQ31348,0.004634293773927,0.0131558628620628,2.793749116294111e-05,2.793749116294111e-05,2011-q3,2.0,381.88
IQ31348,0.0045284504823784,0.013004350882778,2.667580468068868e-05,2.667580468068868e-05,2011-q4,0.0,0.0
IQ31348,0.0044247787610619,0.0128535690312936,2.5468270052209213e-05,2.5468270052209213e-05,2012-q1,0.0,0.0
IQ31348,0.0043046977353546,0.0126758567327326,2.410456954669325e-05,2.410456954669325e-05,2012-q2,0.0,0.0
IQ31348,0.0043755697356426,0.0125072095686657,2.4667766410214985e-05,2.4667766410214985e-05,2012-q3,1.0,634.54
IQ31348,0.0044177416504682,0.0123119986789941,2.492299637379772e-05,2.492299637379772e-05,2012-q4,1.0,35.97
IQ31348,0.0043275056257573,0.0121849871595776,2.391516266865884e-05,2.391516266865884e-05,2013-q1,0.0,0.0
IQ31348,0.0042351346772827,0.0120522932884284,2.290503200590732e-05,2.290503200590732e-05,2013-q2,0.0,0.0
IQ31348,0.004297520661157,0.0119028689417496,2.3390246868207163e-05,2.3390246868207163e-05,2013-q3,0.0,0.0
IQ31348,0.0042057586541572,0.0117719275804976,2.2401960150576763e-05,2.2401960150576763e-05,2013-q4,1.0,149.95
IQ31348,0.004256660886016,0.011620071976879,2.277060263493658e-05,2.277060263493658e-05,2014-q1,0.0,0.0
IQ31348,0.0044424019607843,0.0114508030824719,4.999031173676763e-05,4.999031173676763e-05,2014-q2,2.0,35683.560000000005
IQ31348,0.004778972520908,0.0113055754546999,5.746188019911791e-05,5.746188019911791e-05,2014-q3,4.0,501.95
IQ31348,0.0046525152660657,0.0111525383569096,5.446088104090304e-05,5.446088104090304e-05,2014-q4,0.0,0.0
IQ31348,0.0045287291253891,0.0110019422885382,5.160123065730072e-05,5.160123065730072e-05,2015-q1,0.0,0.0
IQ31348,0.0046429059128772,0.0108065191666349,5.218298899461135e-05,5.218298899461135e-05,2015-q2,2.0,205.66
IQ31348,0.0050331125827814,0.0106415646904746,5.7303322487343175e-05,5.7303322487343175e-05,2015-q3,4.0,899.13
IQ31348,0.0050433208327945,0.0105142012438151,5.66635195110159e-05,5.66635195110159e-05,2015-q4,1.0,103.45
IQ31348,0.0049217566885411,0.0103849576123044,5.396463933558379e-05,5.396463933558379e-05,2016-q1,0.0,0.0
IQ31348,0.00493461633358,0.0102669657473597,5.345580679683277e-05,5.345580679683277e-05,2016-q2,1.0,310.26
IQ31348,0.0048245085031962,0.0101519402150708,5.10967245573739e-05,5.10967245573739e-05,2016-q3,0.0,0.0
IQ31348,0.0047303689687795,0.0100520205874457,4.9121986452849885e-05,4.9121986452849885e-05,2016-q4,0.0,0.0
IQ31348,0.0046468401486988,0.0099626498555002,4.74024125776417e-05,4.74024125776417e-05,2017-q1,0.0,0.0
IQ31348,0.0045610034207525,0.0098692613706664,4.566724829992876e-05,4.566724829992876e-05,2017-q2,0.0,0.0
IQ31348,0.0044908498933423,0.0097929285189387,4.427314401925165e-05,4.427314401925165e-05,2017-q3,0.0,0.0
IQ31348,0.0044077134986225,0.0097005341605797,4.264902415462457e-05,4.264902415462457e-05,2017-q4,0.0,0.0
IQ31348,0.0043407487791644,0.0096266709513621,4.136289806931136e-05,4.136289806931136e-05,2018-q1,0.0,0.0
IQ31348,0.0042698548249359,0.0095466893032648,4.002276648119746e-05,4.002276648119746e-05,2018-q2,0.0,0.0
IQ31348,0.00418410041841,0.0094502922351696,4.1254468504566e-05,4.1254468504566e-05,2018-q3,0.0,0.0
IQ31348,0.0041152263374485,0.0093722832693876,3.990740634885551e-05,3.990740634885551e-05,2018-q4,0.0,0.0
IQ31348,0.0041544229405208,0.0093019863634984,4.00668292532459e-05,4.00668292532459e-05,2019-q1,1.0,281.17
IQ31348,0.0040893676441252,0.0092292013246345,3.882175669941444e-05,3.882175669941444e-05,2019-q2,0.0,0.0
IQ31348,0.0040219737100255,0.0091524322086508,3.755265190726185e-05,3.755265190726185e-05,2019-q3,0.0,0.0
IQ31348,0.0039533314048789,0.0090724331576079,3.628172058667784e-05,3.628172058667784e-05,2019-q4,0.0,0.0
IQ31348,0.003894376899696,0.0090051432690193,3.520762791755922e-05,3.520762791755922e-05,2020-q1,0.0,0.0
IQ31348,0.0038490424333458,0.0089528962553785,3.43926565349767e-05,3.43926565349767e-05,2020-q2,0.0,0.0
IQ31348,0.0037934863064396,0.0088885960160535,3.340694619279647e-05,3.340694619279647e-05,2020-q3,0.0,0.0
IQ31348,0.0037276116010546,0.0088099987887948,3.225673064130332e-05,3.225673064130332e-05,2020-q4,0.0,0.0
IQ31348,0.0036616950969009,0.0087315579499014,3.1125955846834515e-05,3.1125955846834515e-05,2021-q1,0.0,0.0
IQ31348,0.0035879933490854,0.0086436337011843,2.988552007644444e-05,2.988552007644444e-05,2021-q2,1.0,912.58
IQ31348,0.0036073177016232,0.0085635033272425,3.0764053827621524e-05,3.0764053827621524e-05,2021-q3,0.0,0.0
IQ31348,0.0035434067324727,0.0084867936162288,2.9683569729865848e-05,2.9683569729865848e-05,2021-q4,0.0,0.0
