node,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,undirected_Weighted_betweenness,undirected_harmonic,QuarterYear,Number of Deals,Total Deal Value
IQ277914,2.495105200215647e-10,0.0014224751066856,0.0007112375533428,5.400938429087842e-06,2.700469214543921e-06,3.5356330065037743e-16,0.0075160696390086,2.083333333333333,2018-q1,1.0,37.34
IQ277914,2.282815295466171e-10,0.0014224751066856,0.0007112375533428,5.400938429087842e-06,2.700469214543921e-06,-6.145241369737817e-16,0.0075000863817112,1.0,2018-q2,0.0,0.0
IQ277914,3.326253340981893e-11,0.0014224751066856,0.0007112375533428,5.400938429087842e-06,2.700469214543921e-06,1.5896168920355492e-17,0.0073496750636106,1.0,2018-q3,0.0,0.0
IQ277914,3.326249386414506e-11,0.0014224751066856,0.0007112375533428,5.400938429087842e-06,2.700469214543921e-06,-1.3931219282574814e-18,0.0073659862718522,351.67370488988075,2018-q4,0.0,0.0
IQ277914,3.3262021048263385e-11,0.0013495276653171,0.0006747638326585,5.092854830831491e-06,2.5464274154157457e-06,-1.8707026149856505e-17,0.0072467257843045,1.0,2019-q1,1.0,344.63
IQ277914,1.5544754298741206e-11,0.0013495276653171,0.0006747638326585,5.092854830831491e-06,2.5464274154157457e-06,-9.99531741510451e-19,0.0072257119021715,1.0,2019-q2,0.0,0.0
IQ277914,1.5544750657537938e-11,0.0012195121951219,0.0006097560975609,4.602201743470897e-06,2.3011008717354484e-06,1.1039340459002137e-17,0.0073471253387221,15.5,2019-q3,2.0,532.81
IQ277914,1.5544617323030435e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,1.5504513529715028e-16,0.0092026789708376,1.0,2019-q4,2.0,295.6
IQ277914,1.5544617323018913e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,-1.9367720254436428e-17,0.0090253969168295,1.0,2020-q1,0.0,0.0
IQ277914,1.554461732301879e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,-4.197554227049939e-16,0.00895835273172,1.8333333333333333,2020-q2,0.0,0.0
IQ277914,1.5544617323010845e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,1.5889340089829934e-16,0.0089287383776874,425.0914533995405,2020-q3,0.0,0.0
IQ277914,1.5544617270311478e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,-1.035253108332254e-16,0.0087878097532747,39.8448412698413,2020-q4,0.0,0.0
IQ277914,1.5544617269345548e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,-2.7998500093267442e-18,0.0092337756473648,417.0936112262356,2021-q1,0.0,0.0
IQ277914,1.5544617269088253e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,-2.379903175625696e-20,0.0097148543028814,1.5,2021-q2,0.0,0.0
IQ277914,1.5544617188843258e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,1.0485385019234137e-17,0.0095257240829113,2.833333333333333,2021-q3,0.0,0.0
IQ277914,1.554461718708423e-11,0.0011074197120708,0.0005537098560354,4.179186522310227e-06,2.0895932611551136e-06,-6.978772143626142e-18,0.0096980208590217,2.0,2021-q4,0.0,0.0
